Date,Open,High,Low,Close,Adj Close,Volume
2012-04-03,718.5,718.75,710.875,713.799988,514.529419,329536
2012-04-04,714.875,718.5,710.825012,712.612,513.673218,147392
2012-04-09,712.612,714.388,703.513,705.687988,508.682068,441380
2012-04-10,712,712,685,694.200012,500.401184,294448
2012-04-11,691.25,706.25,685.5,700.588013,505.005768,381212
2012-04-12,707.5,709.974976,685.025024,687.513,495.580994,374876
2012-04-13,635,635,597.525024,600.825012,433.093536,6100296
2012-04-16,595.25,606.575012,584.036987,592.338013,426.97583,2335572
2012-04-17,597.775024,598.474976,584,595.187988,429.030121,1308616
2012-04-18,600,600.737,589.25,593.263,427.642609,1300412
2012-04-19,592.5,602.125,592.112,601.036987,433.246399,984384
2012-04-20,596.812012,606.924988,591.25,601.562012,433.624786,783068
2012-04-23,599,599,576.562012,577.987,416.631165,1576424
2012-04-24,577.5,591.224976,550,587.138,423.227539,3168616
2012-04-25,589,591.437988,576.25,587.200012,423.272247,1315408
2012-04-26,587.025024,594.5,585.299988,589.549988,424.966125,1188216
2012-04-27,589,599.75,589,597.549988,430.732788,1490492
2012-04-30,597.5,616.75,596.5,615.650024,443.779877,579940
2012-05-02,615.650024,622.088013,615.650024,617.812012,445.338318,400536
2012-05-03,612.5,623.974976,612.5,621.088013,447.699799,1068480
2012-05-04,618.062012,624.5,606.200012,610.286987,439.914001,421064
2012-05-07,600.75,611.299988,592,607.650024,438.013184,380004
2012-05-08,600,601.424988,582.575012,597.987,431.047882,576824
2012-05-09,592,598.424988,589.599976,591.924988,426.678192,443756
2012-05-10,591.75,596.224976,582.25,587.049988,423.164093,790520
2012-05-11,586.5,589.875,573.275024,577.963013,416.613922,630472
2012-05-14,581,586.338013,576.125,584.5,421.325989,519472
2012-05-15,577.25,606.099976,577.25,602.799988,434.51712,426800
2012-05-16,594.312012,595.75,588.75,591.599976,426.443787,303032
2012-05-17,591.875,594.174988,586.911987,592.838013,427.336273,385316
2012-05-18,581.5,599.75,576.25,596.349976,429.867859,331520
2012-05-21,599,599,582.013,586.125,422.497314,496232
2012-05-22,592.5,592.5,582.549988,585.575012,422.100891,456260
2012-05-23,586.5,591.075012,577.362,587.049988,423.164093,434440
2012-05-24,590,595.75,578.525024,594.161987,444.966003,383492
2012-05-25,588,596,587.888,593,444.095795,215352
2012-05-28,598.75,598.763,591,596.911987,447.025513,278980
2012-05-29,599.674988,605.75,594.525024,601.737,450.638824,292400
2012-05-30,602.5,612.924988,597.937988,605.612,453.540894,333876
2012-05-31,604.987,624.25,597.562012,609.963013,456.799255,285964
2012-06-01,610,610,594.5,596.950012,447.053925,638096
2012-06-04,592.5,599.5,586.25,597.088013,447.157257,250992
2012-06-05,597,602.5,593.75,597.325012,447.334778,740828
2012-06-06,598.013,606.875,598.013,602.513,451.219971,212296
2012-06-07,606.299988,616,606.299988,613.237,459.25119,299484
2012-06-08,609.75,613.862,598.25,604.799988,452.932678,285216
2012-06-11,606.5,613,604.036987,606.737,454.383301,213588
2012-06-12,602.775024,616.588013,602.5,614.286987,460.037476,175316
2012-06-13,612.5,621.875,610.562012,617.799988,462.668396,289728
2012-06-14,617.25,627.5,614.937988,624.549988,467.723389,710828
2012-06-15,628,633.75,626,630.013,471.814636,401728
2012-06-18,633,636.099976,623.888,627.724976,470.101105,355036
2012-06-19,625,626.424988,614.075012,619.638,464.04483,339996
2012-06-20,620,621.200012,613.724976,617.661987,462.565033,281504
2012-06-21,613.75,625.362,610.575012,623.049988,466.600067,228996
2012-06-22,612.25,621.062012,610.75,618.775024,463.39856,615456
2012-06-25,621,622.362,614.75,617.088013,462.135132,762556
2012-06-26,613.75,614,607.825012,610.625,457.294983,319352
2012-06-27,612.763,618.5,610.513,617.138,462.172546,196824
2012-06-28,618.75,624.013,612.849976,618.174988,462.949219,718720
2012-06-29,622.525024,628.75,618.75,625.638,468.538239,231072
2012-07-02,624.25,629.75,622.763,625.275024,468.266449,189192
2012-07-03,627.5,628,619.25,623.937988,467.265137,198720
2012-07-04,624,626.075012,617.5,619.825012,464.184906,304992
2012-07-05,620,621.786987,616.25,620.049988,464.353333,504804
2012-07-06,622.25,622.25,609.775024,610.963013,457.548187,288132
2012-07-09,607.5,617.25,600.75,609.200012,456.227875,237616
2012-07-10,612.5,615.5,609,614.775024,460.402924,193240
2012-07-11,612.474976,625.849976,611,616.588013,461.760712,535592
2012-07-12,567.5,570,554.013,566.312012,424.109161,4976016
2012-07-13,559.924988,564.650024,555.025024,556.950012,417.097992,1301596
2012-07-16,559.75,560.513,541,543.150024,406.763275,1404020
2012-07-17,546.25,549.424988,540.75,542.713013,406.436005,1031536
2012-07-18,543.25,547.325012,540.875,543.950012,407.362396,390472
2012-07-19,550,562.125,548.75,560.713013,419.916168,727192
2012-07-20,561.25,561.25,551.487,554.400024,415.188324,347368
2012-07-23,550,552.5,545.25,546.536987,409.299774,334588
2012-07-24,549.950012,552.75,541.575012,542.338013,406.155121,275604
2012-07-25,543.75,544.974976,537.5,541.950012,405.864563,455168
2012-07-26,541.75,541.75,525.411987,531.25,397.851349,692948
2012-07-27,540.275024,541.200012,527.786987,537.213013,402.317078,346656
2012-07-30,538.812012,553.75,538.812012,552.362,413.662018,334252
2012-07-31,552.5,558.075012,546.275024,556.849976,417.023041,345460
2012-08-01,557.25,557.963013,550.5,554.763,415.460175,206128
2012-08-02,553.75,557,549.25,551.463013,412.988861,126440
2012-08-03,549.5,555,546.525024,552.325012,413.634369,225192
2012-08-06,554,558.25,551.875,553.388,414.43045,141196
2012-08-07,556.5,567.125,556.049988,563.924988,422.321533,370348
2012-08-08,567,572.75,564.786987,570.474976,427.226837,501144
2012-08-09,571.5,577.487,567.775024,569.75,426.683899,301904
2012-08-10,569,580,566.25,578.286987,433.07724,315092
2012-08-13,575.5,582.5,575.036987,579.724976,434.154114,184152
2012-08-14,578,583.5,572.5,582.487,436.222595,210500
2012-08-16,582.487,582.487,575.549988,578.562012,433.283142,160572
2012-08-17,580,588.75,579.437988,587.849976,440.238922,383732
2012-08-21,587.849976,609.687988,587.849976,601.763,450.658325,646268
2012-08-22,601.5,609,598.174988,607.349976,454.842346,372552
2012-08-23,608.5,619.450012,605.799988,617.875,462.724579,425464
2012-08-24,612.25,614.763,609.349976,611.338013,457.82901,243924
2012-08-27,605.799988,611.5,601.463013,602.638,451.313599,171772
2012-08-28,599.862,612.375,599.862,605.849976,453.719086,306964
2012-08-29,605.25,605.25,595.888,597.424988,447.409607,188072
2012-08-30,595.75,600.950012,592.5,597.75,447.653076,246460
2012-08-31,597.25,597.5,590.062012,593.312012,444.329437,204404
2012-09-03,592.75,599.911987,590.825012,592.388,443.637421,210220
2012-09-04,591.5,592.5,585.700012,590.599976,442.298309,153748
2012-09-05,587,588.974976,577.5,584.612,437.814056,271620
2012-09-06,587.5,606.5,587.25,605.549988,453.494446,521804
2012-09-07,611.75,622.487,611.75,620.75,464.877625,389808
2012-09-10,623.75,631.987,619.588013,627.75,470.119934,437144
2012-09-11,624.25,633.812012,620,632.174988,473.433746,322888
2012-09-12,633.674988,637.5,630.424988,634.224976,474.968933,300820
2012-09-13,634.25,640.25,629.575012,637.987,477.786377,269728
2012-09-14,645.75,660.612,645.75,658.200012,492.923828,708608
2012-09-17,661.75,662,636.763,640.650024,479.78067,382000
2012-09-18,643,654.875,643,649.911987,486.716949,265856
