"date","weighted","close","high","low","open","volume"
"2014-11-15","374.86","374.86","407.32","367.97","396.53","5185270.16"
"2014-11-16","385.61","385.61","390.36","370.54","374.86","5497204.23"
"2014-11-17","384.69","384.69","412.33","378.32","385.61","10942934.49"
"2014-11-18","379.16","379.16","394.94","371.95","384.69","10404772.69"
"2014-11-19","381.43","381.43","389.29","374.26","379.16","7592152.68"
"2014-11-20","357.3","357.3","383.03","355.11","381.43","8084810.79"
"2014-11-21","351.77","351.77","358.73","343.8","357.3","8291129.59"
"2014-11-22","352.01","352.01","364.21","350.51","351.77","4632290.66"
"2014-11-23","365.85","365.85","370.59","352.64","352.01","4504560.45"
"2014-11-24","378.85","378.85","388.72","361.92","365.85","9244691.04"
"2014-11-25","376.43","376.43","395.73","370.64","378.85","17405251.28"
"2014-11-26","365.35","365.35","378.27","363.99","376.43","8916241.87"
"2014-11-27","368.83","368.83","374.43","364.81","365.35","5144146.32"
"2014-11-28","377.59","377.59","383.25","358.37","368.83","16118258.33"
"2014-11-29","376.28","376.28","389.3","372.21","377.59","31983637.28"
"2014-11-30","374.93","374.93","381.06","372.57","376.28","4269105.57"
"2014-12-01","378.61","378.61","383.58","373.02","374.93","7481865.14"
"2014-12-02","380.64","380.64","384.87","375.37","378.61","9664274.24"
"2014-12-03","376.96","376.96","384.67","373.64","380.64","8950322.28"
"2014-12-04","369.84","369.84","380.43","366.24","376.96","9521316.14"
"2014-12-05","377.63","377.63","379.7","366.39","369.84","11251853.9"
"2014-12-06","376.26","376.26","380.33","372.04","377.63","4181319.51"
"2014-12-07","376.47","376.47","377.88","372.46","376.26","3334332.18"
"2014-12-08","364.95","364.95","377.36","364.6","376.47","8506201.99"
"2014-12-09","352.19","352.19","365.35","343.82","364.95","15529628.16"
"2014-12-10","347.94","347.94","354.07","345.09","352.19","9535221.36"
"2014-12-11","347.68","347.68","367.13","337.8","347.94","18063629.15"
"2014-12-12","353.4","353.4","356.43","346","347.68","9490205.28"
"2014-12-13","348.24","348.24","353.1","343.81","353.4","6837218.94"
"2014-12-14","349.35","349.35","351.59","344.61","348.24","4328238.86"
"2014-12-15","345.37","345.37","351.22","343.56","349.35","7746836.16"
"2014-12-16","330.22","330.22","346.45","328.88","345.37","13001054.77"
"2014-12-17","320.02","320.02","335.67","314.31","330.22","19834674.23"
"2014-12-18","310.34","310.34","325.62","303.4","320.02","18932813.68"
"2014-12-19","317.78","317.78","320.24","306.36","310.34","13119110.69"
"2014-12-20","330.35","330.35","332.62","316.05","317.78","9768954.91"
"2014-12-21","322.63","322.63","332.03","320.13","330.35","6746131.4"
"2014-12-22","330.84","330.84","335.26","319.89","322.63","11694687.77"
"2014-12-23","335.25","335.25","339.32","328","330.84","8057502.86"
"2014-12-24","322.4","322.4","336.28","320.65","335.25","7112691.11"
"2014-12-25","318.99","318.99","323.38","316.3","322.4","4926116.3"
"2014-12-26","329.98","329.98","332.88","316.36","318.99","7518851.52"
"2014-12-27","315.34","315.34","330.7","311.98","329.98","6940336.9"
"2014-12-28","316.53","316.53","322.84","310.5","315.34","6482718.73"
"2014-12-29","314.12","314.12","321.61","308.28","316.53","6457547.05"
"2014-12-30","311.27","311.27","316.18","309.25","314.12","7163083.26"
"2014-12-31","318.24","318.24","319.09","308.89","311.27","6472822.84"
"2015-01-01","314.89","314.89","321.36","313.54","318.24","4073067.1"
"2015-01-02","315.21","315.21","316.4","313.08","314.89","4673971.8"
"2015-01-03","287.13","287.13","315.83","284.89","315.21","14209564.7"
"2015-01-04","264.72","264.72","289.94","255.87","287.13","24255392.1"
"2015-01-05","274.84","274.84","278.32","262.89","264.72","14995382.75"
"2015-01-06","282.27","282.27","285.11","271.52","274.84","6097640.43"
"2015-01-07","291.34","291.34","296.06","280.74","282.27","8827164"
"2015-01-08","282.69","282.69","292.71","278.99","291.34","5796312.29"
"2015-01-09","287.97","287.97","290.59","277.28","282.69","5963203.51"
"2015-01-10","273.35","273.35","289.25","271.98","287.97","4147357.05"
"2015-01-11","264.77","264.77","278.01","263.76","273.35","4122751.52"
"2015-01-12","269.33","269.33","273.08","263.3","264.77","6899315.98"
"2015-01-13","221.29","221.29","269.1","217.1","269.33","22745960.68"
"2015-01-14","164.92","164.92","230.86","157.29","221.29","32911586.21"
"2015-01-15","209.78","209.78","231.26","164.55","164.92","25672423.81"
"2015-01-16","206.92","206.92","222.63","198.72","209.78","13208882.23"
"2015-01-17","199.65","199.65","212.59","191.71","206.92","8685194.65"
"2015-01-18","210.62","210.62","220.73","192.51","199.65","8429486.11"
"2015-01-19","215.87","215.87","219.48","205.47","210.62","6744459.25"
"2015-01-20","210.55","210.55","216.57","203.42","215.87","7926400.72"
"2015-01-21","228.17","228.17","229.32","207.11","210.55","9390361.66"
"2015-01-22","232.7","232.7","238.78","225.57","228.17","12508308.9"
"2015-01-23","232.17","232.17","236.97","224.84","232.7","8855407.23"
"2015-01-24","248.16","248.16","248.88","229.58","232.17","8011743.34"
"2015-01-25","252.09","252.09","256.43","241.36","248.16","12509649.52"
"2015-01-26","269.18","269.18","310.91","251.5","252.09","29806496.64"
"2015-01-27","263.27","263.27","276.9","247.26","269.18","13130803.27"
"2015-01-28","236.17","236.17","267.66","228.06","263.27","15880595.92"
"2015-01-29","233.99","233.99","241.51","220.36","236.17","12723448.2"
"2015-01-30","231.84","231.84","244.83","227.19","233.99","11316575.19"
"2015-01-31","218.51","218.51","235.36","216.46","231.84","9645307.86"
"2015-02-01","225.29","225.29","231.44","209.71","218.51","9058010.18"
"2015-02-02","238.86","238.86","242.51","220.53","225.29","8965813.6"
"2015-02-03","227.41","227.41","247.48","223.91","238.86","15000263.95"
"2015-02-04","226.58","226.58","230.71","220.23","227.41","12495299.13"
"2015-02-05","216.52","216.52","229.85","214.35","226.58","9055713.16"
"2015-02-06","222.96","222.96","226.16","215.65","216.52","11628519.32"
"2015-02-07","227.68","227.68","231","222.38","222.96","9046632.13"
"2015-02-08","223.67","223.67","230.23","219.5","227.68","6564922.66"
"2015-02-09","220.34","220.34","225","215.66","223.67","20192733.61"
"2015-02-10","219.67","219.67","222.19","214.44","220.34","18877297.99"
"2015-02-11","218.83","218.83","223.53","217.28","219.67","15909377.35"
"2015-02-12","221.79","221.79","223","217.3","218.83","11084499.87"
"2015-02-13","236.17","236.17","241.58","220.62","221.79","26243104.7"
"2015-02-14","258.64","258.64","261.25","235.38","236.17","33313626.71"
"2015-02-15","233.27","233.27","264.57","226.56","258.64","43921119.98"
"2015-02-16","235.83","235.83","240.03","228.01","233.27","27187677.11"
"2015-02-17","243.2","243.2","247.17","232.03","235.83","27926884.82"
"2015-02-18","235.2","235.2","245.51","231.7","243.2","23813015.67"
"2015-02-19","241.92","241.92","244.11","234.87","235.2","15852470.09"
"2015-02-20","244.52","244.52","247.76","238.83","241.92","20434846.7"
"2015-02-21","244.41","244.41","247.32","242.65","244.52","10570761.56"
"2015-02-22","235.73","235.73","246.54","232.72","244.41","18107359.63"
"2015-02-23","238.82","238.82","240.06","231.33","235.73","14856549.49"
"2015-02-24","238.89","238.89","240.25","235.5","238.82","10787951.21"
"2015-02-25","237.33","237.33","239.64","234.59","238.89","9092357.66"
"2015-02-26","236.53","236.53","238.17","233.5","237.33","12064967.48"
"2015-02-27","253.47","253.47","258.72","235.7","236.53","42282820.69"
"2015-02-28","254.06","254.06","255.4","248.73","253.47","9999594.97"
"2015-03-01","257.94","257.94","260.65","244.77","254.06","12964061.92"
"2015-03-02","273.75","273.75","274.8","256.15","257.94","21562624.62"
"2015-03-03","280.65","280.65","287.06","266.12","273.75","45650597.34"
"2015-03-04","271.92","271.92","284.47","265.91","280.65","38656923.75"
"2015-03-05","275.23","275.23","280.84","262.81","271.92","33599454.28"
"2015-03-06","272.56","272.56","277.99","269.02","275.23","27014943.36"
"2015-03-07","274.91","274.91","278.25","269.41","272.56","16708000.42"
"2015-03-08","274.49","274.49","278.78","271.31","274.91","13902830.08"
"2015-03-09","290.02","290.02","293.26","273.79","274.49","43259194.28"
"2015-03-10","291.37","291.37","300.96","288.12","290.02","46657647.9"
"2015-03-11","295.6","295.6","297.66","288.88","291.37","23542829.99"
"2015-03-12","293.85","293.85","296.98","290.83","295.6","31607747.19"
"2015-03-13","287.21","287.21","294.92","286.08","293.85","28288614.1"
"2015-03-14","281.6","281.6","288.4","279.3","287.21","21495879.21"
"2015-03-15","284.88","284.88","286.39","280.37","281.6","11238833.94"
"2015-03-16","290.41","290.41","294.01","284.77","284.88","19355605.15"
"2015-03-17","285.38","285.38","292.46","283.25","290.41","18775700.27"
"2015-03-18","255.92","255.92","285.65","248.19","285.38","55391241.42"
"2015-03-19","260.93","260.93","264.8","247","255.92","46525086.82"
"2015-03-20","261.78","261.78","264.71","257.85","260.93","13853175.66"
"2015-03-21","259.71","259.71","263.26","254.02","261.78","13413360.84"
"2015-03-22","268.57","268.57","270.42","259","259.71","14980752.09"
"2015-03-23","265.46","265.46","271.01","259.38","268.57","21749937.38"
"2015-03-24","246.72","246.72","267.02","242.67","265.46","38033136.19"
"2015-03-25","246.37","246.37","249.21","234.84","246.72","32092197.46"
"2015-03-26","248.02","248.02","254.69","243.52","246.37","22412560.34"
"2015-03-27","247.21","247.21","250.05","244.47","248.02","15543779.05"
"2015-03-28","252.02","252.02","254.25","246.28","247.21","13890988.51"
"2015-03-29","242.08","242.08","252.81","238.93","252.02","18971340.67"
"2015-03-30","246.79","246.79","248.83","236.55","242.08","20963830.56"
"2015-03-31","244.15","244.15","248.7","241.18","246.79","18515676.34"
"2015-04-01","246.24","246.24","247.67","239.57","244.15","16412525.86"
"2015-04-02","252.6","252.6","254.85","244.25","246.24","20354036.74"
"2015-04-03","254.48","254.48","256.53","251.26","252.6","18264452.59"
"2015-04-04","252.89","252.89","255.24","250.31","254.48","7805160.91"
"2015-04-05","259.64","259.64","260.26","250.6","252.89","11277271.88"
"2015-04-06","254.97","254.97","261.45","252.32","259.64","11857398.41"
"2015-04-07","252.97","252.97","255.6","250.15","254.97","11401051.13"
"2015-04-08","244.57","244.57","254.26","242.57","252.97","25401433.04"
